Sales Person,Industry,Q1 Quota Split,Q2 Quota Split,Q3 Quota Split,Q4 Quota Split,REVENUE SIZE,COMMISSION SPLIT (TCV),COMMISSION SPLIT(ACV)
Martin Lane,Biotechnology,24%,26%,25%,25%,"5,000,000",0%,96%
Tristan Serres,Insurance,25%,30%,20%,25%,"1,000,000",0%,98%
Genevieve Remy,Alcohol,20%,20%,30%,30%,"100,000,000,000",0%,89%
Jules Chevrolet,Medical Equipment,25%,25%,25%,25%,"10,000,000",0%,93%
Frederic Forester,Oil and Gas,25%,25%,25%,25%,"50,000,000",0%,100%
Desiree Frossard,Security Hardware,20%,25%,30%,25%,0,0%,90%
Roy Moreau,Education,30%,25%,15%,30%,"500,000",0%,92%
Yvonne Vaillant,Agriculture,15%,20%,35%,30%,"10,000,000",0%,93%
Yves Simon,Technology Services,22%,28%,25%,25%,"10,000,000,000",0%,98%
Jean Tremblay,Construction,15%,25%,35%,25%,"500,000",0%,98%
Noel Vannier,Oil and Gas,25%,25%,25%,25%,"100,000,000",0%,93%
Armand Riviere,Technology Services,22%,28%,25%,25%,"1,000,000,000",0%,91%
Genevieve Badeaux,Alcohol,20%,20%,30%,30%,"500,000",0%,89%
Claude Kaplan,Healthcare,24%,26%,25%,25%,"2,000,000",0%,99%
Pierre Heroux,Agriculture,15%,20%,35%,30%,"1,000,000",0%,99%
Chanel Farrow,Appliances,22%,28%,25%,25%,"2,000,000",0%,88%
Nicolette Segal,Healthcare,24%,26%,25%,25%,0,0%,95%
Pauline Travers,Mining,24%,26%,25%,25%,"10,000,000",0%,92%
Raphael Baudelaire,Fishing,30%,30%,20%,20%,0,0%,98%
Camille Valade,Fishing,30%,30%,20%,20%,"100,000,000",0%,95%
Arthur Picard,Technology Services,22%,28%,25%,25%,"1,000,000",0%,92%
Martin Anouilh,Mining,24%,26%,25%,25%,"500,000",0%,92%
Juliet Sauveterre,Other,25%,25%,25%,25%,"2,000,000",0%,93%
Jewel Garnier,Education,30%,25%,15%,30%,"100,000,000,000",0%,92%
Gilbert Vaillancourt,Travel,20%,30%,30%,20%,"10,000,000",0%,91%
Lourdes Allard,Software,23%,27%,25%,25%,"100,000,000,000",0%,93%
Lorraine Houde,Biotechnology,24%,26%,25%,25%,"10,000,000,000",0%,90%
Quentin Varon,Insurance,25%,30%,20%,25%,"10,000,000",0%,91%
Richard Roche,Pharmaceuticals,25%,25%,25%,25%,"50,000,000",0%,96%
Dominique Riviere,Other,25%,25%,25%,25%,"2,000,000",0%,90%
Antoinette Gauthier,Banking,23%,27%,25%,25%,"500,000",0%,90%
Philippe Carbonneau,Agriculture,15%,20%,35%,30%,"1,000,000",0%,95%
Marc Varon,Fishing,30%,30%,20%,20%,"10,000,000,000",0%,89%
Odette Fraise,Appliances,22%,28%,25%,25%,"500,000",0%,88%
Sinclair Varon,Healthcare,24%,26%,25%,25%,"1,000,000,000",0%,99%
Monique Matthieu,Mining,24%,26%,25%,25%,"1,000,000,000",0%,96%
Jacques Barbier,Insurance,25%,30%,20%,25%,"100,000,000,000",0%,98%
Sacha Sartre,Security Software,22%,28%,25%,25%,"10,000,000,000",0%,92%
Marie Auch,Oil and Gas,25%,25%,25%,25%,"10,000,000,000",0%,98%
Jeanne Pascal,Education,30%,25%,15%,30%,"5,000,000",0%,91%
Sinclair Gouin,Insurance,25%,30%,20%,25%,"1,000,000,000",0%,97%
Charlotte Zabelle,Fishing,30%,30%,20%,20%,"2,000,000",0%,98%
Hugo Vautour,Banking,23%,27%,25%,25%,"10,000,000,000",0%,89%
Dominique Visage,Biomedical,25%,25%,25%,25%,"5,000,000",0%,91%
Jacques Cartier,Travel,20%,30%,30%,20%,"1,000,000,000",0%,96%
Blanche Gauthier,Automotive,20%,25%,30%,25%,"500,000",0%,96%
Valentin Segal,Biotechnology,24%,26%,25%,25%,"1,000,000,000",0%,90%
Tristan Yotte,Pharmaceuticals,25%,25%,25%,25%,"10,000,000,000",0%,93%
Louis Baudelaire,Automotive,20%,25%,30%,25%,0,0%,89%
Louis Fontaine,Fishing,30%,30%,20%,20%,"1,000,000,000",0%,90%
Monique Durand,Software,23%,27%,25%,25%,"1,000,000",90%,0%
Arthur Plantier,Pharmaceuticals,25%,25%,25%,25%,"100,000,000",0%,94%
Suzette Allard,Insurance,25%,30%,20%,25%,"500,000",0%,96%
Percival Roche,Automotive,20%,25%,30%,25%,"50,000,000",0%,93%
Charlotte Bain,Education,30%,25%,15%,30%,"500,000",0%,88%
Frederic Reason,Financial Services,20%,28%,25%,25%,"50,000,000",0%,100%
Völker Fuchs,Education,30%,25%,15%,30%,"100,000,000",0%,94%
Karl Brandt,Biomedical,25%,25%,25%,25%,"5,000,000",0%,99%
Mathilde Lange,Technology Services,22%,28%,25%,25%,"100,000,000,000",0%,98%
Christoph Roth,Alcohol,20%,20%,30%,30%,"100,000,000",0%,96%
Bertina Wagner,Alcohol,20%,20%,30%,30%,"100,000,000,000",0%,94%
Matthias Walter,Biomedical,25%,25%,25%,25%,"10,000,000,000",0%,96%
Lorelei Köhler,Insurance,25%,30%,20%,25%,"1,000,000,000",0%,96%
Annike Klein,Insurance,25%,30%,20%,25%,"2,000,000",0%,90%
Johanna Schreiber,Biomedical,25%,25%,25%,25%,"500,000",0%,92%
Günther Frank,Mining,24%,26%,25%,25%,"1,000,000",0%,95%
Johann Keller,Travel,20%,30%,30%,20%,0,0%,97%
Lothar Voigt,Education,30%,25%,15%,30%,"100,000,000,000",0%,96%
Annike  Lange,Oil and Gas,25%,25%,25%,25%,"2,000,000",0%,94%
Stefanie Neumann,Healthcare,24%,26%,25%,25%,0,0%,92%
Elke Maier,Alcohol,20%,20%,30%,30%,"10,000,000",0%,89%
Rosamund Schröder,Biomedical,25%,25%,25%,25%,"1,000,000",0%,99%
Völker Bergmann,Medical Equipment,25%,25%,25%,25%,"500,000",0%,90%
Elke Herrmann,Financial Services,20%,28%,25%,25%,0,0%,97%
Arnold Arnold,Software,23%,27%,25%,25%,"1,000,000,000",0%,90%
Johann Franke,Oil and Gas,25%,25%,25%,25%,"1,000,000",0%,97%
Marlene Schuster,Technology Services,22%,28%,25%,25%,"10,000,000,000",0%,95%
Rosamund Zimmermann,Software,23%,27%,25%,25%,"5,000,000",98%,44%
Anja Becker,Construction,15%,25%,35%,25%,"50,000,000",0%,89%
Dirk Kuhn,Oil and Gas,25%,25%,25%,25%,"100,000,000",0%,96%
Marlene Kraus,Automotive,20%,25%,30%,25%,"50,000,000",0%,94%
Lotte Engel,Technology Services,22%,28%,25%,25%,"5,000,000",0%,98%
Günther Günther,Alcohol,20%,20%,30%,30%,"500,000",0%,98%
Ludwig Kaiser,Alcohol,20%,20%,30%,30%,"100,000,000",0%,97%
Wolfgang Schreiber,Travel,20%,30%,30%,20%,"50,000,000",0%,90%
Katharina Wolff,Pharmaceuticals,25%,25%,25%,25%,"500,000",0%,89%
Magdalena Lange,Pharmaceuticals,25%,25%,25%,25%,"10,000,000",0%,96%
Günther Kühn,Technology Hardware,20%,25%,30%,25%,"1,000,000",94%,0%
Marlene Albrecht,Software,23%,27%,25%,25%,"2,000,000",98%,0%
Jürgen Böhm,Construction,15%,25%,35%,25%,"1,000,000",0%,88%
Leopold Baumann –,Mining,24%,26%,25%,25%,0,0%,90%
Udo Mayer,Agriculture,15%,20%,35%,30%,"1,000,000",0%,93%
Florian Schäfer,Travel,20%,30%,30%,20%,"500,000",0%,97%
Reiner Krämer,Healthcare,24%,26%,25%,25%,"50,000,000",0%,90%
Otto Weiß,Construction,15%,25%,35%,25%,"500,000",0%,91%
Leopold Schmitt,Fishing,30%,30%,20%,20%,"1,000,000",0%,96%
Albrecht  Müller,Biotechnology,24%,26%,25%,25%,0,0%,98%
Ilse  Kühn,Mining,24%,26%,25%,25%,"100,000,000,000",0%,100%
Karl Hoffmann,Other,25%,25%,25%,25%,"10,000,000",0%,97%
Anja Frank,Technology Services,22%,28%,25%,25%,"2,000,000",0%,94%
Sigmund Vogel,Other,25%,25%,25%,25%,"5,000,000",0%,97%
Sabine  Wagner,Technology Services,22%,28%,25%,25%,"1,000,000",0%,90%
Lotte Möller,Other,25%,25%,25%,25%,"1,000,000,000",0%,93%
Rosamund Schäfer,Oil and Gas,25%,25%,25%,25%,"500,000",0%,99%
Udo Thomas,Education,30%,25%,15%,30%,"5,000,000",0%,100%
Ulrich Krause,Medical Equipment,25%,25%,25%,25%,"2,000,000",0%,92%
Günther Krämer,Travel,20%,30%,30%,20%,"1,000,000,000",0%,89%
Kiefer Möller,Healthcare,24%,26%,25%,25%,0,0%,93%
Kiefer Meier,Agriculture,15%,20%,35%,30%,"10,000,000",0%,91%
Albrecht  Schneider,Technology Hardware,20%,25%,30%,25%,"500,000",92%,0%
Kiefer Bergmann,Travel,20%,30%,30%,20%,"10,000,000",0%,99%
Werner Möller,Alcohol,20%,20%,30%,30%,"2,000,000",0%,94%
Wolfgang Peters,Technology Hardware,20%,25%,30%,25%,"5,000,000",97%,46%
Elke Jung,Travel,20%,30%,30%,20%,"1,000,000,000",0%,89%
Margarethe Peters,Oil and Gas,25%,25%,25%,25%,"2,000,000",0%,91%
Ilse Ludwig,Biomedical,25%,25%,25%,25%,"1,000,000",0%,97%
Stefanie Maier,Oil and Gas,25%,25%,25%,25%,"100,000,000,000",0%,92%
Rosamund Brandt,Biotechnology,24%,26%,25%,25%,"50,000,000",0%,97%
Klara Kühn,Banking,23%,27%,25%,25%,"5,000,000",0%,95%
Johann Schmid,Oil and Gas,25%,25%,25%,25%,"2,000,000",0%,97%
Elke Lehmann,Appliances,22%,28%,25%,25%,"50,000,000",0%,96%
Bruno Scholz,Security Hardware,20%,25%,30%,25%,"5,000,000",0%,92%
Gisele Schmidt,Biomedical,25%,25%,25%,25%,"10,000,000,000",0%,89%
Klara Arnold,Banking,23%,27%,25%,25%,"50,000,000",0%,93%
Matthias Vogel,Education,30%,25%,15%,30%,"2,000,000",0%,91%
Kiefer Heinrich,Education,30%,25%,15%,30%,"1,000,000",0%,95%
Florian Groß,Financial Services,20%,28%,25%,25%,"100,000,000",0%,94%
Matthias Kraus,Medical Equipment,25%,25%,25%,25%,"500,000",0%,100%
Sigmund Wolff,Appliances,22%,28%,25%,25%,"50,000,000",0%,95%
Sigmund Seidel,Oil and Gas,25%,25%,25%,25%,"2,000,000",0%,89%
Lorelei Franke,Healthcare,24%,26%,25%,25%,"10,000,000",0%,93%
Kurt Roth,Security Software,22%,28%,25%,25%,"100,000,000,000",0%,90%
Anneliese  Schulte,Insurance,25%,30%,20%,25%,"1,000,000,000",0%,99%
Annike  Kuhn,Biotechnology,24%,26%,25%,25%,"100,000,000",0%,95%
Dirk Hartmann,Automotive,20%,25%,30%,25%,"1,000,000,000",0%,100%
Annike  Meier,Financial Services,20%,28%,25%,25%,"1,000,000",0%,97%
Karl Schwarz,Technology Services,22%,28%,25%,25%,"10,000,000,000",0%,100%
Renate Fischer,Other,25%,25%,25%,25%,"100,000,000",0%,97%
Günther Pohl,Agriculture,15%,20%,35%,30%,"2,000,000",0%,93%
Margarethe Franke,Fishing,30%,30%,20%,20%,"100,000,000,000",0%,96%
Lorelei Schwarz,Software,23%,27%,25%,25%,"10,000,000,000",0%,95%
Katharina Kraus,Oil and Gas,25%,25%,25%,25%,"100,000,000,000",0%,97%
Sigmund Schmitz,Oil and Gas,25%,25%,25%,25%,"500,000",0%,99%
Ludwig Schulz,Software,23%,27%,25%,25%,"10,000,000,000",0%,94%
Lotte Schwarz,Security Software,22%,28%,25%,25%,"2,000,000",0%,88%
Stefanie Klein,Security Hardware,20%,25%,30%,25%,"10,000,000",0%,99%
Mathilde Kühn,Construction,15%,25%,35%,25%,"1,000,000",0%,94%
Johann Huber,Banking,23%,27%,25%,25%,"100,000,000",0%,96%
Mathilde Krüger,Security Hardware,20%,25%,30%,25%,"1,000,000",0%,89%
Bruno Koch,Banking,23%,27%,25%,25%,"10,000,000",0%,99%
Kurt Becker,Mining,24%,26%,25%,25%,"500,000",0%,95%
Udo Meier,Healthcare,24%,26%,25%,25%,"10,000,000,000",0%,93%
Marlene Pohl,Healthcare,24%,26%,25%,25%,"1,000,000,000",0%,88%
Christoph Schulte,Mining,24%,26%,25%,25%,"10,000,000,000",0%,99%
Lothar Weiß,Technology Services,22%,28%,25%,25%,"5,000,000",0%,91%
Anja Huber,Biotechnology,24%,26%,25%,25%,"100,000,000",0%,100%
Thalia Othonos,Security Hardware,20%,25%,30%,25%,"100,000,000",0%,96%
Haroula Halkias,Automotive,20%,25%,30%,25%,"50,000,000",0%,91%
George Economos,Automotive,20%,25%,30%,25%,"10,000,000,000",0%,91%
Socrates Dougenis,Biotechnology,24%,26%,25%,25%,"100,000,000",0%,90%
Christina Tavoularis,Oil and Gas,25%,25%,25%,25%,"1,000,000",0%,92%
Theophilos Zervas,Healthcare,24%,26%,25%,25%,"5,000,000",0%,96%
Calisto Lekas,Pharmaceuticals,25%,25%,25%,25%,"1,000,000,000",0%,89%
Panagiotis Raptis,Appliances,22%,28%,25%,25%,"10,000,000,000",0%,100%
Phoebe Vasilakis,Appliances,22%,28%,25%,25%,"100,000,000,000",0%,99%
Irene Christoforou,Medical Equipment,25%,25%,25%,25%,"1,000,000,000",0%,99%
Magdalen Galanis,Alcohol,20%,20%,30%,30%,"10,000,000",0%,99%
Calisto Filo,Education,30%,25%,15%,30%,"500,000",0%,91%
Panagiotis Georgiou,Healthcare,24%,26%,25%,25%,"10,000,000",0%,90%
Nefeli Fotos,Technology Hardware,20%,25%,30%,25%,"100,000,000",0%,94%
Corinna Leventis,Mining,24%,26%,25%,25%,"100,000,000,000",0%,92%
Fay Chloros,Fishing,30%,30%,20%,20%,0,0%,95%
Pandora Agathangelou,Biomedical,25%,25%,25%,25%,0,0%,91%
Aleka Balaskas,Healthcare,24%,26%,25%,25%,"50,000,000",0%,88%
Agape Ariti,Oil and Gas,25%,25%,25%,25%,"50,000,000",0%,91%
Alexander Ariti,Biotechnology,24%,26%,25%,25%,"5,000,000",0%,88%
Sarantos Christodoulopoulos,Healthcare,24%,26%,25%,25%,"2,000,000",0%,89%
Magdalen Samaras,Medical Equipment,25%,25%,25%,25%,"100,000,000,000",0%,94%
Angeliki Eliades,Agriculture,15%,20%,35%,30%,"1,000,000,000",0%,89%
Christina Vassos,Insurance,25%,30%,20%,25%,"2,000,000",0%,90%
Nektaria Chaconas,Pharmaceuticals,25%,25%,25%,25%,"100,000,000",0%,94%
Ioanna Mallas,Security Hardware,20%,25%,30%,25%,"10,000,000",0%,97%
Adonia Eliopoulos,Travel,20%,30%,30%,20%,0,0%,96%
Lydia Ioannou,Appliances,22%,28%,25%,25%,"10,000,000",0%,98%
Nike Andino,Alcohol,20%,20%,30%,30%,"100,000,000",0%,92%
Anastasia Drivas,Software,23%,27%,25%,25%,"5,000,000",92%,44%
Ajax Vouvali,Security Software,22%,28%,25%,25%,"100,000,000,000",0%,94%
Eva Frangopoulos,Construction,15%,25%,35%,25%,"100,000,000,000",0%,98%
Marina Yiannopoulos,Biotechnology,24%,26%,25%,25%,"100,000,000",0%,88%
Spartacus Hatzis,Financial Services,20%,28%,25%,25%,"5,000,000",0%,100%
Argyro Christodoulopoulos,Alcohol,20%,20%,30%,30%,"2,000,000",0%,97%
Theophanis Drivas,Appliances,22%,28%,25%,25%,"50,000,000",0%,89%
Stratos Diamandis,Medical Equipment,25%,25%,25%,25%,"50,000,000",0%,99%
Anastasios Cirillo,Appliances,22%,28%,25%,25%,"5,000,000",0%,94%
Maximos Konstantinopolites,Travel,20%,30%,30%,20%,"5,000,000",0%,99%
Stefanos Tsaoussis,Construction,15%,25%,35%,25%,"10,000,000,000",0%,94%
Aphrodite Iraklidis,Financial Services,20%,28%,25%,25%,"10,000,000",0%,89%
Calisto Hondros,Fishing,30%,30%,20%,20%,"1,000,000,000",0%,98%
Athanasios Eliopoulos,Oil and Gas,25%,25%,25%,25%,"2,000,000",0%,98%
Kyriaki Lykaios,Biomedical,25%,25%,25%,25%,"50,000,000",0%,97%
Adonis Eliades,Education,30%,25%,15%,30%,"10,000,000,000",0%,96%
Alexia Gataki,Security Software,22%,28%,25%,25%,"10,000,000,000",0%,95%
Athanasios Hasapi,Automotive,20%,25%,30%,25%,"100,000,000",0%,99%
Helen Bakirtzis,Security Software,22%,28%,25%,25%,"50,000,000",0%,89%
Spartacus Xiphias,Fishing,30%,30%,20%,20%,"50,000,000",0%,97%
Elias Mavros,Travel,20%,30%,30%,20%,"10,000,000,000",0%,92%
Vassilia Elias,Healthcare,24%,26%,25%,25%,"2,000,000",0%,98%
Alexander Condos,Fishing,30%,30%,20%,20%,"500,000",0%,91%
Matthew Aetos,Security Software,22%,28%,25%,25%,0,0%,92%
Corinna Bouras,Security Hardware,20%,25%,30%,25%,"100,000,000,000",0%,94%
Eva Mandrapilias,Construction,15%,25%,35%,25%,"50,000,000",0%,94%
Ariadne Mikos,Healthcare,24%,26%,25%,25%,"10,000,000",0%,94%
Nektarios Galanis,Oil and Gas,25%,25%,25%,25%,"1,000,000",0%,96%
Nike Tsaoussis,Construction,15%,25%,35%,25%,0,0%,97%
Alexis Dougenis,Technology Services,22%,28%,25%,25%,"10,000,000,000",0%,93%
Eleftheria Zafeiriou,Agriculture,15%,20%,35%,30%,"5,000,000",0%,92%
Helen Voulgaropoulos,Biomedical,25%,25%,25%,25%,"1,000,000,000",0%,99%
Kyriaki Doukas,Financial Services,20%,28%,25%,25%,"10,000,000",0%,98%
Penelope Panagos,Travel,20%,30%,30%,20%,"2,000,000",0%,89%
Nikolas Xiphias,Other,25%,25%,25%,25%,"10,000,000",0%,95%
Elpidoforos Andino,Automotive,20%,25%,30%,25%,"2,000,000",0%,92%
Phoebe Ariti,Agriculture,15%,20%,35%,30%,"50,000,000",0%,94%
Georgia Leventis,Security Software,22%,28%,25%,25%,"50,000,000",0%,96%
Fay Zika,Education,30%,25%,15%,30%,"10,000,000,000",0%,98%
Dionysius Aetos,Banking,23%,27%,25%,25%,"100,000,000,000",0%,95%
Calliope Castellanos,Technology Services,22%,28%,25%,25%,"10,000,000",0%,92%
Stefania Vassos,Pharmaceuticals,25%,25%,25%,25%,"500,000",0%,95%
Sophia Bakirtzis,Appliances,22%,28%,25%,25%,"5,000,000",0%,96%
Nektarios Elias,Technology Hardware,20%,25%,30%,25%,"50,000,000",0%,100%
Dorothea Baros,Alcohol,20%,20%,30%,30%,"1,000,000",0%,100%
Alexis Argyros,Biomedical,25%,25%,25%,25%,"100,000,000",0%,89%
Petros Cirillo,Other,25%,25%,25%,25%,"10,000,000,000",0%,92%
Fay Onasis,Mining,24%,26%,25%,25%,"2,000,000",0%,98%
Panagiota Mikos,Fishing,30%,30%,20%,20%,"50,000,000",0%,99%
Catherine Rousopoulos,Financial Services,20%,28%,25%,25%,"100,000,000",0%,91%
Cleopatra Hondros,Software,23%,27%,25%,25%,"50,000,000",0%,90%
Sophia Kappas,Biotechnology,24%,26%,25%,25%,"500,000",0%,97%
Pandora Vouvali,Appliances,22%,28%,25%,25%,"5,000,000",0%,93%
Magdalen Zika,Insurance,25%,30%,20%,25%,"50,000,000",0%,96%
Agape Galatas,Alcohol,20%,20%,30%,30%,0,0%,91%
Apostolis Baros,Medical Equipment,25%,25%,25%,25%,"100,000,000,000",0%,91%
Corinna Bouras,Alcohol,20%,20%,30%,30%,"5,000,000",0%,96%
Keiki Iordanou,Alcohol,20%,20%,30%,30%,"5,000,000",0%,89%
Odysseus Georgiou,Mining,24%,26%,25%,25%,"5,000,000",0%,99%
Eva Gataki,Biomedical,25%,25%,25%,25%,"5,000,000",0%,94%
Marios Teresi,Security Software,22%,28%,25%,25%,"50,000,000",0%,91%
Isidoros Dougenis,Insurance,25%,30%,20%,25%,"10,000,000",0%,99%
Spartacus Economos,Oil and Gas,25%,25%,25%,25%,0,0%,94%
Dionysia Georgiades,Technology Services,22%,28%,25%,25%,"2,000,000",0%,97%
Panagiotis Zika,Technology Services,22%,28%,25%,25%,"500,000",0%,95%
Zeus Kappas,Other,25%,25%,25%,25%,"10,000,000,000",0%,93%
Michael Sagona,Technology Hardware,20%,25%,30%,25%,"10,000,000,000",0%,88%
Ambrosia Iraklidis,Insurance,25%,30%,20%,25%,"1,000,000",0%,91%
Cleopatra Galatas,Fishing,30%,30%,20%,20%,"100,000,000,000",0%,97%
Agamemnon Leventis,Financial Services,20%,28%,25%,25%,"100,000,000",0%,91%
Helen Sotiropoulos,Alcohol,20%,20%,30%,30%,"5,000,000",0%,90%
Alamea Kalawaiʻa,Appliances,22%,28%,25%,25%,"10,000,000",0%,93%
Leia Konani,Biotechnology,24%,26%,25%,25%,"50,000,000",0%,97%
Maleko Ano,Automotive,20%,25%,30%,25%,"10,000,000",0%,92%
Bane Alama,Security Hardware,20%,25%,30%,25%,"500,000",0%,95%
Kali Hikialani,Healthcare,24%,26%,25%,25%,"5,000,000",0%,96%
Hailama Makali,Biotechnology,24%,26%,25%,25%,"1,000,000,000",0%,90%
Iulio Kealohilani,Travel,20%,30%,30%,20%,"1,000,000,000",0%,96%
Kale Alohi,Construction,15%,25%,35%,25%,"10,000,000,000",0%,94%
Halia Etana,Construction,15%,25%,35%,25%,"10,000,000",0%,93%
Alana Kaleo,Biomedical,25%,25%,25%,25%,"1,000,000",0%,95%
Kimo Kane,Software,23%,27%,25%,25%,"5,000,000",99%,45%
Kapono Makaio,Education,30%,25%,15%,30%,"10,000,000",0%,91%
Kalei Hale,Software,23%,27%,25%,25%,"100,000,000,000",0%,95%
Kana Palakiko,Pharmaceuticals,25%,25%,25%,25%,"50,000,000",0%,94%
Kaleo Nani,Agriculture,15%,20%,35%,30%,"100,000,000",0%,99%
 Lokelani Akana,Technology Services,22%,28%,25%,25%,"1,000,000,000",0%,99%
Akoni Nani,Fishing,30%,30%,20%,20%,"500,000",0%,89%
Akoni Makaio,Financial Services,20%,28%,25%,25%,"100,000,000",0%,98%
Kimo Keona,Healthcare,24%,26%,25%,25%,"1,000,000,000",0%,89%
Kaia Manu,Alcohol,20%,20%,30%,30%,"500,000",0%,91%
Kale Mahelona,Technology Services,22%,28%,25%,25%,"5,000,000",0%,90%
Kali Kahele,Appliances,22%,28%,25%,25%,"1,000,000",0%,94%
Kalani Kulani,Insurance,25%,30%,20%,25%,"50,000,000",0%,99%
Okalani Aka,Medical Equipment,25%,25%,25%,25%,"10,000,000,000",0%,99%
Makaio Luda,Other,25%,25%,25%,25%,0,0%,95%
Luana Ano,Medical Equipment,25%,25%,25%,25%,"500,000",0%,96%
Kalei Kehaulani,Biotechnology,24%,26%,25%,25%,"1,000,000",0%,92%
Bane Wong,Appliances,22%,28%,25%,25%,0,0%,91%
Havika Likeke,Biomedical,25%,25%,25%,25%,"100,000,000,000",0%,96%
Kaia Leilani,Education,30%,25%,15%,30%,"5,000,000",0%,94%
Mililani Likeke,Insurance,25%,30%,20%,25%,"10,000,000,000",0%,95%
Leia Kahale,Automotive,20%,25%,30%,25%,0,0%,91%
Kaia Kana,Technology Services,22%,28%,25%,25%,"10,000,000,000",0%,94%
Kaia Hale,Technology Hardware,20%,25%,30%,25%,"500,000",91%,0%
Okalani Aukai,Insurance,25%,30%,20%,25%,"1,000,000",0%,96%
Haukea Alika,Pharmaceuticals,25%,25%,25%,25%,"50,000,000",0%,92%
Mililani Anela,Agriculture,15%,20%,35%,30%,"10,000,000,000",0%,93%
Leilani Leilani,Biotechnology,24%,26%,25%,25%,0,0%,95%
Ionakana Kaleo,Technology Services,22%,28%,25%,25%,"5,000,000",0%,93%
Makani Kane,Education,30%,25%,15%,30%,"100,000,000",0%,97%
Kailani Palakiko,Agriculture,15%,20%,35%,30%,"100,000,000,000",0%,93%
Koi Alama,Banking,23%,27%,25%,25%,"100,000,000,000",0%,94%
Nana Kahananui,Other,25%,25%,25%,25%,"2,000,000",0%,98%
Mano Likeke,Medical Equipment,25%,25%,25%,25%,"50,000,000",0%,91%
Alana Kayl,Insurance,25%,30%,20%,25%,"10,000,000,000",0%,94%
Anakoni Kalani,Other,25%,25%,25%,25%,"100,000,000",0%,90%
Havika Isaia,Technology Services,22%,28%,25%,25%,"500,000",0%,99%
Keoni Kealani,Education,30%,25%,15%,30%,"1,000,000",0%,99%
Keoni Kana,Pharmaceuticals,25%,25%,25%,25%,"5,000,000",0%,94%
Kai Alohi,Insurance,25%,30%,20%,25%,"50,000,000",0%,97%
Lilo Kane,Fishing,30%,30%,20%,20%,"2,000,000",0%,97%
Kapono Ai’la’ausd,Oil and Gas,25%,25%,25%,25%,"1,000,000,000",0%,91%
Anakoni Kayl,Construction,15%,25%,35%,25%,"100,000,000",0%,89%
Makani Alohi,Other,25%,25%,25%,25%,"5,000,000",0%,100%
Alamea Ka’uhane,Agriculture,15%,20%,35%,30%,"1,000,000",0%,95%
Naia Anakoni,Insurance,25%,30%,20%,25%,"100,000,000",0%,91%
Okalani Ka’uhane,Construction,15%,25%,35%,25%,"500,000",0%,95%
Koi Keanu,Appliances,22%,28%,25%,25%,"10,000,000,000",0%,89%
Keanu Ai’la’ausd,Banking,23%,27%,25%,25%,"100,000,000",0%,88%
Mano Kamealoha,Travel,20%,30%,30%,20%,"10,000,000",0%,98%
Kaleo Kaleo,Agriculture,15%,20%,35%,30%,"5,000,000",0%,97%
Malia Haoa,Software,23%,27%,25%,25%,"500,000",95%,0%
Hailama Keanu,Other,25%,25%,25%,25%,"100,000,000,000",0%,88%
Alamea Kealani,Alcohol,20%,20%,30%,30%,"1,000,000",0%,92%
Akoni Kealohilani,Fishing,30%,30%,20%,20%,"50,000,000",0%,95%
Ionakana Nani,Financial Services,20%,28%,25%,25%,"100,000,000,000",0%,94%
Koi Kiana,Security Software,22%,28%,25%,25%,0,0%,89%
Kale Hekekia,Construction,15%,25%,35%,25%,"50,000,000",0%,95%
Havika Ka’uhane,Software,23%,27%,25%,25%,0,93%,0%
Havika Kahananui,Mining,24%,26%,25%,25%,"1,000,000",0%,92%
Akamu Kane,Financial Services,20%,28%,25%,25%,"1,000,000,000",0%,92%
Iulio Havika,Other,25%,25%,25%,25%,"5,000,000",0%,90%
Bane Isaia,Biomedical,25%,25%,25%,25%,"50,000,000",0%,89%
Makaio Manu,Insurance,25%,30%,20%,25%,"1,000,000,000",0%,89%
Keanu Mahi’ai,Software,23%,27%,25%,25%,"100,000,000",0%,94%
Akoni Kulani,Fishing,30%,30%,20%,20%,"100,000,000,000",0%,92%
Makani Keli’i,Mining,24%,26%,25%,25%,"2,000,000",0%,96%
Kalani Alohi,Construction,15%,25%,35%,25%,"10,000,000,000",0%,96%
Naia Kapule,Software,23%,27%,25%,25%,"100,000,000,000",0%,96%
Iulio Kane,Software,23%,27%,25%,25%,"500,000",91%,0%
Keanu Kalua,Insurance,25%,30%,20%,25%,"5,000,000",0%,98%
Kimo Mahoe,Mining,24%,26%,25%,25%,"100,000,000",0%,94%
Kai Lui,Banking,23%,27%,25%,25%,"2,000,000",0%,97%
Hailama Lui,Automotive,20%,25%,30%,25%,"5,000,000",0%,94%
Akamu Leimomi,Construction,15%,25%,35%,25%,0,0%,88%
Leia Mana,Financial Services,20%,28%,25%,25%,"2,000,000",0%,88%
Makani Aolani,Pharmaceuticals,25%,25%,25%,25%,"10,000,000",0%,97%
Koi Kamealoha,Travel,20%,30%,30%,20%,"1,000,000",0%,97%
Makani Pele,Medical Equipment,25%,25%,25%,25%,"5,000,000",0%,99%
Naia Moana,Mining,24%,26%,25%,25%,"50,000,000",0%,97%
Kailani Mahelona,Biotechnology,24%,26%,25%,25%,"1,000,000,000",0%,92%
Akoni Kealoha,Appliances,22%,28%,25%,25%,"1,000,000,000",0%,91%
Oliana Kahie,Technology Services,22%,28%,25%,25%,"10,000,000",0%,93%
